name,frequency
Lien,24.0
Meryem,24.0
Michelle,24.0
Noémie,24.0
Odile,24.0
Rania,24.0
Josephine,23.0
Lexi,23.0
Suzanne,23.0
Amani,22.0
Eliza,22.0
Fenne,22.0
Israe,22.0
Juline,22.0
Khadija,22.0
Leyla,22.0
Aliya,21.0
Anouk,21.0
Esma,21.0
Imke,21.0
Lenthe,21.0
Lisette,21.0
Louisa,21.0
Rachel,21.0
Suze,21.0
Tasnim,21.0
Aisha,20.0
Gisèle,20.0
Jasmine,20.0
Jill,20.0
Josefien,20.0
Quinn,20.0
Romi,20.0
Sia,20.0
Stien,20.0
Yasmin,20.0
Yousra,20.0
Anastasia,19.0
Farah,19.0
Felien,19.0
Ilana,19.0
Leah,19.0
Lorena,19.0
Marie-Julie,19.0
Marit,19.0
Medina,19.0
Naya,19.0
Noralie,19.0
Soraya,19.0
Yasmina,19.0
Yuna,19.0
Cécile,18.0
Demi,18.0
Diana,18.0
Elizabeth,18.0
Félice,18.0
Jenna,18.0
Lexie,18.0
Lilia,18.0
Liyana,18.0
Lucia,18.0
Mara,18.0
Milla,18.0
Myla,18.0
Saar,18.0
Safae,18.0
Salma,18.0
Tessa,18.0
Aliyah,17.0
Anisa,17.0
Asya,17.0
Ela,17.0
Elin,17.0
Emelie,17.0
Imane,17.0
Isabella,17.0
Lieke,17.0
Melina,17.0
Milou,17.0
Miriam,17.0
Pia,17.0
Selma,17.0
Zahra,17.0
Zainab,17.0
Zehra,17.0
Zoé,17.0
Adriana,16.0
Aria,16.0
Assia,16.0
Ava,16.0
Gloria,16.0
Hannelore,16.0
Jinthe,16.0
Jozefien,16.0
Jule,16.0
Lyana,16.0
Madeleine,16.0
Maité,16.0
Maëlle,16.0
Nona,16.0
Zaynab,16.0
Aicha,15.0
Amélia,15.0
Ana,15.0
Benthe,15.0
Celeste,15.0
Fie,15.0
Frauke,15.0
Jasmijn,15.0
Liliana,15.0
Luka,15.0
Maja,15.0
Mille,15.0
Nada,15.0
Natalia,15.0
Neyla,15.0
Oone,15.0
Rosa,15.0
Safa,15.0
Selina,15.0
Suzan,15.0
Zuzanna,15.0
Alexandra,14.0
Aylin,14.0
Cataleya,14.0
Claire,14.0
Elissa,14.0
Esra,14.0
Fiona,14.0
Fé,14.0
Hiba,14.0
Ivy,14.0
Jaylinn,14.0
Jennah,14.0
Juno,14.0
Layla,14.0
Leila,14.0
Luana,14.0
Lune,14.0
Maxime,14.0
Melissa,14.0
Miley,14.0
Miray,14.0
Rachelle,14.0
Rana,14.0
Rune,14.0
Selena,14.0
Zita,14.0
Ashley,13.0
Celine,13.0
Charline,13.0
Dania,13.0
Emme,13.0
Fatoumata,13.0
Fiene,13.0
Gaëlle,13.0
Hayley,13.0
Inara,13.0
Jackie,13.0
Jutta,13.0
Layan,13.0
Lene,13.0
Leona,13.0
Lila,13.0
Lisse,13.0
Liva,13.0
Lizzy,13.0
Luz,13.0
Marta,13.0
Mirte,13.0
Nette,13.0
Nienke,13.0
Paula,13.0
Rayhana,13.0
Razan,13.0
Robyn,13.0
Safia,13.0
Skye,13.0
Sofía,13.0
Alisa,12.0
Amal,12.0
Asel,12.0
Assiya,12.0
Astrid,12.0
Bente,12.0
Cato,12.0
Eleonora,12.0
Elien,12.0
Elli,12.0
Esila,12.0
Faith,12.0
Flora,12.0
Gabriela,12.0
Giselle,12.0
Hana,12.0
Hope,12.0
Ilona,12.0
Jinte,12.0
Kenza,12.0
Leana,12.0
Line,12.0
Matilda,12.0
Morgane,12.0
Noélie,12.0
Noémi,12.0
Robine,12.0
Ruth,12.0
Sue,12.0
Tenzin,12.0
Thea,12.0
Violet,12.0
Yinthe,12.0
Zara,12.0
Aimée,11.0
Alexine,11.0
Aleyna,11.0
Angel,11.0
Aster,11.0
Aude,11.0
Cami,11.0
